Player Name,Season,Team,Plays,Total EPA,EPA/Play,Pass EPA,Rush EPA,Scramble %,Sack %,Success %,ADoT,Comp %,Pass Yards,Time To Throw,Pass TD,INT,YPA,Rush Yards,Rush TD
1. Drake Maye,2025,,182,63.47,0.35,51.62,11.86,6.04%,8.24%,54.40%,7.73,70.51%,1366,2.58,14,0,8.76,120,2
2. Matthew Stafford,2025,,185,51.81,0.28,53,-1.19,1.08%,4.32%,53.51%,8.1,64%,1290,2.41,29,1,7.37,4,0
3. Jordan Love,2025,,151,49.48,0.33,46.18,3.3,2.65%,4.64%,50.33%,9.76,62.14%,1122,2.59,12,3,8.01,22,0
4. Caleb Williams,2025,,201,48.13,0.24,38.7,9.43,8.96%,3.48%,46.27%,10.07,52.84%,1337,2.83,17,2,7.6,155,1
5. Jared Goff,2025,,168,44.58,0.27,44.47,0.11,0.60%,6.55%,48.81%,6.42,62.18%,1289,2.29,9,2,8.26,5,0
6. Lamar Jackson,2025,,129,37.43,0.29,26.27,11.16,6.20%,6.98%,51.94%,8.57,60.71%,951,2.65,12,2,8.49,60,1
7. Bo Nix,2025,,137,35.09,0.26,31.26,3.83,4.38%,3.65%,46.72%,6.67,61.90%,860,2.55,8,1,6.83,49,0
8. Trevor Lawrence,2025,,167,34.72,0.21,28.9,5.82,2.99%,8.38%,46.71%,9.28,62.16%,1243,2.42,10,3,8.4,40,2
9. Dak Prescott,2025,,182,31.78,0.17,29.87,1.91,1.65%,5.49%,50%,6.77,69.82%,1324,2.4,9,2,7.83,35,0
10. Josh Allen,2025,,160,22.98,0.14,9.41,13.58,6.88%,7.50%,48.13%,7.07,64.96%,1091,2.41,8,5,7.96,140,2
11. Justin Herbert,2025,,183,18.59,0.1,5.86,12.74,6.56%,8.20%,49.73%,7.09,64.74%,1183,2.49,11,5,7.58,151,1
12. Sam Darnold,2025,,162,18.56,0.11,18.12,0.44,1.23%,5.56%,51.85%,8.57,62.25%,1354,2.63,10,7,8.97,10,0
13. C.J. Stroud,2025,,136,15.33,0.11,12.19,3.13,2.94%,6.62%,50.74%,8.44,65.85%,920,2.54,4,2,7.48,25,0
14. Marcus Mariota,2025,,86,15.18,0.18,11.4,3.79,4.65%,8.14%,52.33%,10.43,62.67%,609,2.57,5,1,8.12,58,0
15. Joe Burrow,2025,,57,15.11,0.27,16.58,-1.48,1.75%,10.53%,49.12%,7.83,68%,351,2.42,8,1,7.02,2,0
16. Justin Fields,2025,,71,14.28,0.2,6.32,7.96,4.23%,7.04%,40.85%,7.12,53.97%,410,2.66,7,0,6.51,69,1
17. Daniel Jones,2025,,138,13.21,0.1,6.24,6.97,3.62%,5.80%,44.93%,8.34,56%,941,2.46,5,1,7.53,46,1
18. Kirk Cousins,2025,,80,11.88,0.15,11.88,0,0%,6.25%,45%,7.84,65.33%,555,2.43,4,0,7.4,0,0
19. Tyler Shough,2025,,81,10.43,0.13,7.62,2.81,4.94%,9.88%,41.98%,10.61,63.77%,519,2.6,3,0,7.52,25,1
20. Jalen Hurts,2025,,171,10.19,0.06,3.78,6.4,5.85%,8.77%,42.69%,9.56,61.64%,1072,2.47,15,2,7.34,83,0
21. Jaxson Dart,2025,,121,7.64,0.06,-1.05,8.68,8.26%,9.92%,46.28%,7.82,65.66%,735,2.41,6,3,7.42,51,1
22. Spencer Rattler,2025,,68,6.1,0.09,0.21,5.89,5.88%,7.35%,51.47%,9.23,69.49%,433,2.46,3,2,7.34,29,0
23. Tua Tagovailoa,2025,,97,2.34,0.02,2.34,0,0%,9.28%,46.39%,7.22,62.50%,636,2.38,9,3,7.23,0,0
24. Brock Purdy,2025,,75,1.57,0.02,-1.88,3.44,4%,6.67%,52%,7.14,65.67%,469,2.94,6,3,7,30,1
25. Michael Penix,2025,,77,1.48,0.02,0.8,0.68,2.60%,6.49%,40.26%,9.88,54.29%,562,2.55,5,0,8.03,9,0
26. Shedeur Sanders,2025,,54,1.43,0.03,-0.49,1.92,5.56%,12.96%,40.74%,9.84,52.27%,384,2.73,2,1,8.73,26,0
27. Patrick Mahomes,2025,,115,0.01,0,-1.71,1.72,1.74%,4.35%,47.83%,8.15,60.19%,717,2.36,7,4,6.64,23,0
28. Davis Mills,2025,,58,-0.72,-0.01,-1.39,0.67,5.17%,1.72%,50%,9.57,57.41%,414,2.35,1,1,7.67,29,0
29. Mac Jones,2025,,61,-1.38,-0.02,-3.26,1.87,4.92%,3.28%,52.46%,6.81,60.71%,351,2.34,6,1,6.27,20,0
30. Jacoby Brissett,2025,,113,-1.8,-0.02,-1.95,0.16,4.42%,11.50%,50.44%,7.97,68.42%,748,2.63,4,1,7.87,26,0
31. Baker Mayfield,2025,,158,-5.43,-0.03,-28.77,23.34,7.59%,8.86%,41.77%,9,53.79%,742,2.49,4,1,5.62,139,1
32. Geno Smith,2025,,149,-8.73,-0.06,-11.13,2.4,2.01%,14.09%,45.64%,7.61,64.80%,968,2.42,6,2,7.74,36,0
33. Dillon Gabriel,2025,,60,-11.89,-0.2,-11.56,-0.32,1.67%,13.33%,33.33%,7.08,56.86%,277,2.53,2,1,5.43,3,0
34. Tyrod Taylor,2025,,59,-13.58,-0.23,-14.69,1.11,6.78%,10.17%,38.98%,8.24,57.14%,275,2.52,2,2,5.61,24,0
35. Joe Flacco,2025,,88,-13.74,-0.16,-13.74,0,0%,4.55%,40.91%,10.3,48.81%,549,2.38,1,5,6.54,0,0
36. Jayden Daniels,2025,,72,-13.85,-0.19,-14.95,1.09,11.11%,6.94%,36.11%,7.87,47.46%,278,2.36,3,1,4.71,55,0
37. Aaron Rodgers,2025,,106,-17.05,-0.16,-18.26,1.21,1.89%,8.49%,38.68%,5.45,63.16%,529,2.24,5,0,5.57,2,1
38. Bryce Young,2025,,150,-33.61,-0.22,-33,-0.61,7.38%,7.38%,42.67%,7.77,59.84%,818,2.35,9,5,6.44,61,1
39. J.J. McCarthy,2025,,72,-33.72,-0.47,-32.8,-0.92,5.63%,8.45%,40.28%,9.41,52.46%,421,2.77,2,4,6.9,46,0
40. Cameron Ward,2025,,150,-71.76,-0.48,-75.69,3.93,2.67%,16%,34%,9.34,52.46%,656,2.7,5,2,5.38,20,0
