Player Name,Season,Team,Plays,Total EPA,EPA/Play,Pass EPA,Rush EPA,Scramble %,Sack %,Success %,ADoT,Comp %,Pass Yards,Time To Throw,Pass TD,INT,YPA,Rush Yards,Rush TD
1. Bo Nix,2025,,303,84.93,0.28,68.34,16.59,5.48%,2.05%,48.18%,8.69,62.96%,1939,2.76,17,2,7.18,173,4
2. Josh Allen,2025,,348,78.6,0.23,56.51,22.08,10%,6.88%,50.86%,8.63,69.17%,2217,2.82,16,7,8.33,316,7
3. Matthew Stafford,2025,,242,73.57,0.3,84.62,-11.06,0.84%,4.60%,53.31%,10.91,65.04%,2024,2.65,14,3,8.96,4,0
4. Dak Prescott,2025,,400,72.21,0.18,65.7,6.5,3.29%,4.30%,50.50%,8.86,67.40%,2736,2.68,15,9,7.5,94,2
5. Caleb Williams,2025,,343,68.41,0.2,65.12,3.29,7.88%,2.73%,48.10%,9.57,60.34%,2174,3.07,18,4,7.37,238,1
6. Jordan Love,2025,,184,59.61,0.32,55.86,3.75,3.31%,1.66%,50.54%,8.78,66.28%,1259,2.77,6,2,7.32,60,0
7. Patrick Mahomes,2025,,316,54.25,0.17,32.02,22.22,10.51%,5.73%,47.78%,9.94,59.70%,1927,2.79,7,5,7.33,270,3
8. Drake Maye,2025,,206,48.22,0.23,46.72,1.5,8.46%,8.46%,52.43%,9.63,69.46%,1460,2.82,12,4,8.74,112,1
9. Sam Darnold,2025,,173,34.61,0.2,32.28,2.33,3.55%,1.18%,59.54%,8.93,69.57%,1365,2.84,8,5,8.48,44,0
10. Baker Mayfield,2025,,326,31.09,0.1,9.46,21.63,5.61%,4.67%,46.63%,8.69,65.63%,2029,2.75,18,7,7.05,165,1
11. Daniel Jones,2025,,176,23.35,0.13,20.12,3.22,5.99%,7.19%,54.55%,8.68,68.97%,1305,2.51,8,4,9,67,1
12. Mac Jones,2025,,153,22.79,0.15,18.05,4.74,2.04%,5.44%,53.59%,8.9,73.53%,1065,2.62,6,4,7.83,37,0
13. Trevor Lawrence,2025,,224,20.45,0.09,10.57,9.88,7.98%,9.86%,47.77%,9.37,65.14%,1380,2.79,8,2,7.89,145,5
14. Jared Goff,2025,,318,19.5,0.06,22.35,-2.85,0.32%,6.69%,43.40%,6.32,64.38%,2100,2.57,14,3,7.19,24,0
15. Jalen Hurts,2025,,209,15.73,0.08,10.59,5.14,7.73%,4.64%,49.76%,9.97,67.65%,1221,2.87,8,5,7.18,152,3
16. Michael Penix,2025,,140,10.51,0.08,2.23,8.29,5.71%,2.14%,47.86%,8.7,61.24%,933,2.75,5,2,7.23,50,1
17. Marcus Mariota,2025,,190,7.08,0.04,5.85,1.23,6.40%,6.98%,45.26%,11.11,61.74%,1049,2.69,7,5,7.04,153,0
18. Jaxson Dart,2025,,238,5.55,0.02,-17.43,22.98,10.50%,8.68%,42.02%,9.74,62.71%,1129,2.8,6,4,6.38,230,5
19. Tyler Shough,2025,,288,4.57,0.02,-5.65,10.22,6.23%,8.79%,46.18%,8.22,68.97%,1732,2.57,8,5,7.47,159,2
20. Justin Fields,2025,,228,3.58,0.02,-6.08,9.65,10.34%,10.34%,48.25%,7.25,63.35%,1032,2.73,6,0,6.41,290,2
21. Lamar Jackson,2025,,198,2.52,0.01,-6.49,9.01,10.44%,8.79%,45.45%,9.54,61.22%,1219,3.07,6,4,8.29,186,1
22. Justin Herbert,2025,,317,2.02,0.01,-7.93,9.95,4.89%,6.84%,43.85%,8.01,64.58%,1831,2.79,12,8,6.76,157,1
23. Aaron Rodgers,2025,,261,1.8,0.01,2.11,-0.32,1.92%,5.38%,42.53%,6.96,61.83%,1507,2.34,12,4,6.25,31,1
24. Spencer Rattler,2025,,267,-0.68,0,-14.9,14.22,5.53%,5.93%,48.31%,7.91,70.09%,1383,2.49,8,4,6.17,159,0
25. Kirk Cousins,2025,,134,-1.47,-0.01,-3.17,1.7,0%,3.82%,46.27%,8,61.90%,792,2.51,5,3,6.29,4,0
26. Carson Wentz,2025,,155,-4.73,-0.03,-4.31,-0.42,3.27%,9.80%,46.45%,7.98,64.66%,955,2.61,4,5,7.18,42,0
27. Jacoby Brissett,2025,,413,-5.87,-0.01,-12.42,6.55,3.96%,7.43%,45.52%,8.04,63.97%,2409,2.78,16,6,6.73,133,0
28. Geno Smith,2025,,366,-7.33,-0.02,-7.93,0.6,4.53%,10.48%,43.99%,6.81,69%,2063,2.61,16,7,6.88,97,0
29. Bryce Young,2025,,362,-7.43,-0.02,-3.97,-3.46,4.27%,4.56%,44.48%,7.22,64.06%,2084,2.63,19,8,6.51,97,1
30. Tyrod Taylor,2025,,118,-7.48,-0.06,-13.76,6.27,13.16%,9.65%,41.53%,9.76,57.95%,537,2.91,4,5,6.1,103,1
31. Joe Burrow,2025,,121,-8.28,-0.07,-10.45,2.17,1.68%,5.88%,44.63%,7.13,60.91%,680,2.73,4,2,6.18,21,0
32. C.J. Stroud,2025,,143,-14.15,-0.1,-20.92,6.76,7.09%,5.67%,41.96%,8.4,58.54%,743,2.68,3,4,6.04,93,0
